CIDADE;UF;ANOMES;RENDA;POPULACAO;LEADS;PEDIDOS;RESTAURANTES;CHURN;REATIVACAO;CHS;MUB;IBGE_TIPO_MUNICIPIO;RECEITA_RESTAURANTE_ATIVO
ABADIA DOS DOURADOS;MG;202401;1000;7022;3;38;3;0;1;602;119;Centro Local;13
ABADIA DOS DOURADOS;MG;202402;1000;7022;4;47;2;2;0;602;121;Centro Local;13
ABADIA DOS DOURADOS;MG;202403;1000;7022;5;102;4;0;1;602;144;Centro Local;13
ABAETE;MG;202401;1000;23263;6;61;3;0;1;2162;330;Centro de Zona;49
ABAETE;MG;202402;1000;23263;6;111;4;1;2;2162;314;Centro de Zona;49
ABAETE;MG;202403;1000;23263;8;157;5;2;1;2162;473;Centro de Zona;49
ABRE CAMPO;MG;202402;1000;13434;4;64;3;0;0;300;50;Centro Local;19
ABRE CAMPO;MG;202403;1000;13434;5;41;3;2;1;300;10;Centro Local;19
ACUCENA;MG;202401;1000;9270;1;48;1;0;0;624;7;Centro Local;12
ACUCENA;MG;202402;1000;9270;2;57;2;0;0;624;87;Centro Local;12
ACUCENA;MG;202403;1000;9270;2;29;2;0;0;624;91;Centro Local;12
AGUA BOA;MG;202402;1000;13319;2;56;1;0;0;962;243;Centro Local;7
AGUA BOA;MG;202403;1000;13319;2;26;2;0;1;962;142;Centro Local;7
AGUAS FORMOSAS;MG;202401;1000;19285;4;98;3;1;2;254;19;Centro de Zona;37
AGUAS FORMOSAS;MG;202402;1000;19285;5;49;3;1;0;254;61;Centro de Zona;37
AGUAS FORMOSAS;MG;202403;1000;19285;7;75;5;2;2;254;71;Centro de Zona;37
AIMORES;MG;202401;1000;25116;1;6;1;0;0;1428;157;Centro Local;67
AIMORES;MG;202402;1000;25116;4;95;3;1;0;1428;154;Centro Local;67
AIMORES;MG;202403;1000;25116;8;162;5;1;0;1428;285;Centro Local;67
AIURUOCA;MG;202401;1000;5949;1;0;0;0;0;291;0;Centro de Zona;35
AIURUOCA;MG;202402;1000;5949;2;42;1;0;1;291;59;Centro de Zona;35
AIURUOCA;MG;202403;1000;5949;3;37;2;0;0;291;72;Centro de Zona;35
ALAGOA;MG;202402;1000;2657;1;1;1;0;0;83;8;Centro Local;4
ALAGOA;MG;202403;1000;2657;2;20;1;1;0;83;4;Centro Local;4
ALBERTINA;MG;202401;2000;3015;1;0;0;0;0;161;0;Centro Local;11
ALBERTINA;MG;202402;2000;3015;1;0;0;0;0;161;0;Centro Local;11
ALBERTINA;MG;202403;2000;3015;1;12;1;0;1;161;46;Centro Local;11
ALEM PARAIBA;MG;202401;1000;35438;7;65;4;2;1;1540;350;Centro Sub-Regional;102
ALEM PARAIBA;MG;202402;1000;35438;9;170;6;1;3;1540;456;Centro Sub-Regional;102
ALEM PARAIBA;MG;202403;1000;35438;15;262;10;1;3;1540;337;Centro Sub-Regional;102
ALFENAS;MG;202401;2000;80973;18;204;12;2;5;3812;30;Centro Sub-Regional;189
ALFENAS;MG;202402;2000;80973;26;396;16;4;4;3812;958;Centro Sub-Regional;189
ALFENAS;MG;202403;2000;80973;31;450;22;2;7;3812;811;Centro Sub-Regional;189
